"","edf","Ref.df","Chi.sq","p-value"
"Frequency","2.191","2.813","3.645",".278"
"AoA","1.086","1.166","15.34","<.001"
"Length","2.409","3.074","40.022","<.001"
"Concreteness","1","1","0.174",".676"
"Iconicity","1.761","2.245","17.385","<.001"
"Grammatical category","4.393","10","17.666","<.001"
"s(cat,iconscale)","0","10","0",".382"
"s(cat,phonlengthscale)","0.261","10","0.318",".287"
"s(cat,AoAscale)","0","10","0",".369"
"s(cat,subtlexzipfscale)","0.233","10","0.259",".304"
"s(cat,concscale)","0","10","0",".581"
